id,name,price,quantity
1385,KIT MAJOR GASKET  ENGINE,1320,9
1386,SPRING CLIP  FRONT H/S,10,5
1387,SLEEVE BEARING HAND STARTER,45,3
1388,HOSE FUEL COCK PETROL 2S & 4S,350,10
1389,"Reflector Head Lamp assly, LH",500,19
1390,REINF COMP DASHBOARD,115,3
1391,SPEAKER GRILL RH BLACK,55,0
1392,"GROMMET,20X16 CUT OUT",20,0
1393,NEEDLE CAGE 28X33X13,230,0
1394,"BACK PLATE, AIR COOLOING",50,54
1395,DAMPER HAND START,35,5
1396,COVER TCI,290,11
1397,BRKT ABUTMENT CLUTCH,60,0
1398,KIT STEERING PIVOT PIN 1st O/S,470,35
1399,GEAR 3 RD DRIVE    3 WHEELER,390,192
1400,GEAR 4TH DRIVE 3 WHEELER,615,212
1401,PACKING BUNDY TUBE,10,500
1402,TUBULAR DOWEL 10x12,15,221
1403,PACKING FLOOR CABIN,410,5
1404,SUPPORT  SHAFT H/S,205,0
1405,REAR TRAILING ARM KIT ASSY L,3165,24
1406,Kit Cable Inner Gear Shift (with pinch b,175,0
1407,4s GEAR FINAL DRIVE,575,284
1408,"COWL COMP., TOP AIR COOLING",260,30
1409,HANDLE BAR DIE CAST,2540,47
1410,FORK GEAR SHIFT HIGH SPEED,515,120
1411,COWL COMP BOTTOM AIR COOLING(R),590,20
1412,"Reflector Head Lamp assly, RH",505,21
1413,LOCK PLATE DIFFERENTIAL 3 WHEELER,25,60
1414,BUSH HOUSING DIFFERENTIAL 3 WHEELER,90,12
1415,HOSE BRAKE OIL,90,4
1416,PISTON VALVE,285,52
1417,CAP CHOKE SHAFT,95,0
1418,CAP ENGINE SIDE FAREMETER,180,0
1419,TORSION SPRING BRAKE,15,20
1420,STOPPER OILSEAL,15,20
1421,4S TUBE OUTLET ES,360,10
1422,WOOD STICK MIDDLE SOFT TOP,190,1
1423,LOCK NUT M38x1.5 10mm,210,0
1424,CORD SET SPEEDOMETER,50,0
1425,PUNCHED WASHER 5.5 x 12 x 1,5,4
1426,GROMMET DASHBOARD,20,501
1427,KIT CLUTCH CABLE,195,100
1428,DRAIN PIPE (PRE FILTER),25,5
1429,DIFFERTIAL FIXTURE,3660,13
1430,HOLDER MAGAZINE,130,10
1431,SPACER PLATE WHEEL,60,2
1432,NEEDLE JET,265,2
1433,SPRING LEVER RETURN,35,0
1434,GEAR 2ND DRIVE 3 WHEELER,385,249
1435,PIPE INTAKE COMP PETROL,230,27
1436,HOSE BREATHER PCV,50,1545
1437,BACK PLATE FRONT (AA),500,2
1438,SEAL RESERVOIR,5,0
1439,SET PLATE CLUTCH,2315,550
1440,FIXING BRACKET ASSY,750,0
1441,Bendix Drive Assy. Ph 2.1 (old),3120,5
1442,LINK ASSY H/S,710,5
1443,SUPPORT  LH FRONT H/S,180,0
1444,SPRING CLIP H/S FRONT,10,0
1445,METALLIC FENDER G YELLOW,1805,8
1446,DUMMY PLUG BIG.,25,1
1447,3 PIECE OIL RING,230,5
1448,CLAMP BATTERY,85,5
1449,WIPER MOTOR ASSY,3770,6
1450,ARM STOPPER REVERSE,50,45
1451,COVER DIFFERENTIAL,1215,19
1452,SOFT TOP FRONT  B PILLAR,785,1
1453,CRANK PIN,300,55
1454,GEAR 4TH DRIVEN,530,70
1455,PIN,175,105
1456,"Cord set, starter motor (Block)",410,25
1457,COVER AIR CLEANER,335,55
1458,FLANGE INLET COMP,390,16
1459,PIPE COMP SAI NP.049,80,14
1460,GEAR FINAL DRIVEN  4 STROKE 3 WHEELER,1525,40
1461,Kit Speedo Cable Guide,50,5
1462,CAP RESERVOIR ASSY,35,84
1463,SPACER,30,54
1464,FAN ENGINE COOLING,445,12
1465,SPACER PLATE WHEEL,40,5
1466,Bendix Drive Assy. Ph 2.2 New (NI),3120,54
1467,PACKING SUPPORT SEAT BASE,190,5
1468,EYE BOLT RH,40,5
1469,O-RING 1.8X15,10,5
1470,FUEL TANK ASSY 8 LIT,1350,5
1471,Gas Level Indicator LPG/CNG 2S & 4S,1390,112
1472,MIRROR ASSY RH  REAR VIEW,245,275
1473,HINGE PLATE LID,80,5
1474,REAR MUDGAURD LH,380,60
1475,REAR MUDGAURD RH,345,60
1476,REAR TRAILING ARM KIT ASSY R,3165,22
